,0
558,car
559,goat
560,goat
561,goat
562,goat
563,goat
564,goat
565,goat
566,goat
567,car
568,goat
569,car
570,goat
571,goat
572,car
573,goat
574,goat
575,car
576,goat
577,goat
578,goat
579,goat
580,goat
581,goat
582,car
583,goat
584,goat
585,goat
586,car
587,car
588,goat
589,goat
590,car
591,goat
592,goat
593,goat
594,goat
595,goat
596,goat
597,goat
598,goat
599,goat
600,goat
601,goat
602,goat
603,goat
604,goat
605,goat
606,goat
607,goat
608,goat
609,goat
610,goat
611,goat
612,goat
613,goat
614,goat
615,goat
616,goat
617,goat
618,goat
619,goat
620,goat
621,goat
622,car
623,goat
624,goat
625,goat
626,goat
627,goat
628,goat
629,car
630,goat
631,goat
632,goat
633,goat
634,goat
635,goat
636,goat
637,goat
638,car
639,goat
640,goat
641,goat
642,goat
643,goat
644,goat
645,goat
646,car
647,goat
648,goat
649,goat
650,goat
651,goat
652,goat
653,goat
654,goat
655,goat
656,car
657,goat
658,goat
659,goat
660,goat
661,goat
662,goat
663,goat
664,goat
665,goat
666,goat
667,goat
668,goat
669,goat
670,car
671,goat
672,goat
673,goat
674,car
675,goat
676,goat
677,goat
678,goat
679,goat
680,goat
681,goat
682,goat
683,goat
684,goat
685,goat
686,goat
687,goat
688,goat
689,goat
690,car
691,goat
692,goat
693,goat
694,goat
695,goat
696,goat
697,goat
698,goat
699,goat
700,car
701,goat
702,goat
703,goat
704,goat
705,goat
706,goat
707,goat
708,goat
709,goat
710,goat
711,goat
712,car
713,goat
714,goat
715,goat
716,goat
717,goat
718,goat
719,goat
720,goat
721,goat
722,goat
723,goat
724,goat
725,goat
726,goat
727,goat
728,goat
729,car
730,goat
731,goat
732,goat
733,goat
734,goat
735,goat
736,goat
737,goat
738,goat
739,goat
740,goat
741,goat
742,goat
743,car
744,goat
745,goat
746,goat
747,goat
748,goat
749,goat
750,goat
751,car
752,goat
753,goat
754,goat
755,goat
756,goat
757,goat
758,goat
759,goat
760,car
761,goat
762,car
763,goat
764,goat
765,goat
766,goat
767,goat
768,goat
769,car
770,car
771,goat
772,goat
773,goat
774,goat
775,goat
776,goat
777,car
778,goat
779,goat
780,goat
781,goat
782,goat
783,goat
784,goat
785,goat
786,goat
787,goat
788,goat
789,goat
790,goat
791,car
792,goat
793,goat
794,goat
795,goat
796,goat
797,goat
798,goat
799,goat
800,goat
801,car
802,goat
803,goat
804,goat
805,goat
806,goat
807,goat
808,goat
809,goat
810,goat
811,goat
812,goat
813,goat
814,goat
815,goat
816,goat
817,goat
818,goat
819,goat
820,goat
821,goat
822,goat
823,goat
824,goat
825,goat
826,goat
827,goat
828,goat
829,goat
830,goat
831,car
832,goat
833,goat
834,goat
835,goat
836,car
837,goat
838,goat
839,goat
840,goat
841,goat
842,goat
843,goat
844,car
845,goat
846,goat
847,goat
848,goat
849,goat
850,goat
851,car
852,goat
853,goat
854,goat
855,car
856,goat
857,car
858,car
859,car
860,goat
861,goat
862,goat
863,goat
864,goat
865,goat
866,goat
867,goat
868,goat
869,goat
870,car
871,goat
872,goat
873,goat
874,goat
875,goat
876,goat
877,goat
878,goat
879,goat
880,goat
881,car
882,goat
883,goat
884,goat
885,car
886,goat
887,goat
888,goat
889,goat
890,goat
891,goat
892,goat
893,goat
894,car
895,goat
896,goat
897,goat
898,goat
899,goat
900,goat
901,goat
902,goat
903,goat
904,goat
905,car
906,goat
907,goat
908,goat
909,car
910,goat
911,goat
912,goat
913,goat
914,goat
915,goat
916,goat
917,goat
918,goat
919,car
920,car
921,goat
922,goat
923,car
924,goat
925,car
926,goat
927,goat
928,goat
929,goat
930,goat
931,goat
932,goat
933,goat
934,goat
935,goat
936,goat
937,goat
938,goat
939,goat
940,goat
941,goat
942,goat
943,goat
944,goat
945,goat
946,car
947,goat
948,goat
949,goat
950,car
951,goat
952,goat
953,goat
954,car
955,goat
956,goat
957,goat
958,goat
959,goat
960,goat
961,goat
962,car
963,goat
964,goat
965,goat
966,goat
967,goat
968,goat
969,goat
970,goat
971,car
972,goat
973,goat
974,goat
975,goat
976,goat
977,goat
978,goat
979,goat
980,goat
981,goat
982,goat
983,goat
984,car
985,goat
986,car
987,goat
988,goat
989,goat
990,goat
991,goat
992,goat
993,goat
994,car
995,goat
996,goat
997,goat
998,goat
999,goat
1000,goat
1001,goat
1002,goat
1003,goat
1004,goat
1005,goat
1006,goat
1007,goat
1008,car
1009,goat
1010,goat
1011,goat
1012,goat
1013,goat
1014,car
1015,goat
1016,goat
1017,goat
1018,goat
1019,goat
1020,car
1021,goat
1022,goat
1023,goat
1024,goat
1025,goat
1026,goat
1027,goat
1028,goat
1029,goat
1030,goat
1031,goat
1032,goat
1033,goat
1034,goat
1035,goat
1036,car
1037,goat
1038,goat
1039,goat
1040,goat
1041,goat
1042,goat
1043,goat
1044,goat
1045,car
1046,goat
1047,goat
1048,goat
1049,goat
1050,goat
1051,goat
1052,car
1053,goat
1054,goat
1055,car
1056,goat
1057,goat
1058,goat
1059,goat
1060,car
1061,goat
1062,goat
1063,goat
1064,goat
1065,goat
1066,goat
1067,goat
1068,goat
1069,goat
1070,goat
1071,goat
1072,goat
1073,goat
1074,car
1075,goat
1076,goat
1077,goat
1078,goat
1079,goat
1080,goat
1081,goat
1082,goat
1083,goat
1084,car
1085,goat
1086,car
1087,goat
1088,goat
1089,goat
1090,goat
1091,car
1092,goat
1093,goat
1094,goat
1095,goat
1096,goat
1097,goat
1098,goat
1099,car
1100,goat
1101,goat
1102,goat
1103,goat
1104,goat
1105,car
1106,goat
1107,goat
1108,goat
1109,goat
1110,goat
1111,goat
1112,goat
1113,car
1114,goat
1115,goat
1116,goat
1117,goat
1118,car
1119,goat
1120,goat
1121,car
1122,goat
1123,goat
1124,goat
1125,goat
1126,car
1127,goat
1128,goat
1129,goat
1130,goat
1131,goat
1132,car
1133,goat
1134,goat
1135,car
1136,goat
1137,goat
1138,goat
1139,goat
1140,goat
1141,goat
1142,goat
1143,goat
1144,goat
1145,goat
1146,goat
1147,goat
1148,car
1149,goat
1150,car
1151,goat
1152,goat
1153,goat
1154,goat
1155,goat
1156,goat
1157,goat
1158,goat
1159,car
1160,goat
1161,car
1162,goat
1163,goat
1164,goat
1165,goat
1166,car
1167,goat
1168,goat
1169,goat
1170,goat
1171,goat
1172,goat
1173,car
1174,goat
1175,goat
1176,car
1177,goat
1178,car
1179,goat
1180,goat
1181,goat
1182,goat
1183,goat
1184,goat
1185,goat
1186,goat
1187,goat
1188,goat
1189,goat
1190,goat
1191,goat
1192,goat
1193,goat
1194,car
1195,goat
1196,goat
1197,goat
1198,goat
1199,goat
1200,goat
1201,goat
1202,goat
1203,goat
1204,goat
1205,goat
1206,goat
1207,goat
1208,goat
1209,goat
1210,goat
1211,car
1212,goat
1213,goat
1214,car
1215,goat
1216,goat
1217,goat
1218,goat
1219,goat
1220,goat
1221,goat
1222,goat
1223,goat
1224,goat
1225,goat
1226,goat
1227,goat
1228,goat
1229,goat
1230,goat
1231,goat
1232,goat
1233,goat
1234,goat
1235,car
1236,goat
1237,goat
1238,goat
1239,goat
1240,goat
1241,goat
1242,goat
1243,goat
1244,car
1245,goat
1246,car
1247,goat
1248,goat
1249,goat
1250,goat
1251,goat
1252,car
1253,goat
1254,goat
1255,goat
1256,goat
1257,goat
1258,goat
1259,goat
1260,goat
1261,goat
1262,car
1263,car
1264,car
1265,goat
1266,goat
1267,goat
1268,goat
1269,car
1270,car
1271,goat
1272,goat
1273,goat
1274,goat
1275,car
1276,goat
1277,goat
1278,goat
1279,goat
1280,goat
1281,goat
1282,goat
1283,goat
1284,goat
1285,goat
1286,car
1287,goat
1288,goat
1289,goat
1290,goat
1291,goat
1292,goat
1293,goat
1294,goat
1295,goat
1296,goat
1297,car
1298,goat
1299,car
1300,car
1301,goat
1302,goat
1303,goat
1304,goat
1305,goat
1306,goat
1307,goat
1308,goat
1309,goat
1310,goat
1311,goat
1312,goat
1313,goat
1314,goat
1315,goat
1316,goat
1317,car
1318,goat
1319,goat
1320,goat
1321,goat
1322,goat
1323,goat
1324,car
1325,goat
1326,goat
1327,goat
1328,goat
1329,car
1330,goat
1331,goat
1332,goat
1333,goat
1334,goat
1335,goat
1336,goat
1337,goat
1338,goat
1339,goat
1340,goat
1341,goat
1342,goat
1343,goat
1344,car
1345,car
1346,goat
1347,goat
1348,goat
1349,goat
1350,goat
1351,goat
1352,car
1353,goat
1354,goat
1355,car
1356,goat
1357,goat
1358,car
1359,goat
1360,goat
1361,goat
1362,goat
1363,goat
1364,goat
1365,goat
1366,car
1367,goat
1368,goat
1369,goat
1370,goat
1371,goat
1372,goat
1373,goat
1374,goat
1375,goat
1376,car
1377,goat
1378,goat
1379,goat
1380,goat
1381,goat
1382,goat
1383,goat
1384,goat
1385,goat
1386,goat
1387,goat
1388,car
1389,goat
1390,goat
1391,goat
1392,goat
1393,goat
1394,goat
1395,goat
1396,car
1397,goat
1398,car
1399,goat
1400,car
1401,goat
1402,goat
1403,goat
1404,goat
1405,goat
1406,car
1407,goat
1408,goat
1409,goat
1410,goat
1411,goat
1412,goat
1413,car
1414,goat
1415,goat
1416,goat
1417,goat
1418,goat
1419,goat
1420,goat
1421,goat
1422,goat
1423,goat
1424,goat
1425,goat
1426,car
1427,car
1428,goat
1429,goat
1430,goat
1431,goat
1432,goat
1433,goat
1434,goat
1435,goat
1436,goat
1437,goat
1438,goat
1439,goat
1440,goat
1441,goat
1442,goat
1443,goat
1444,goat
1445,goat
1446,goat
1447,goat
1448,goat
1449,goat
1450,goat
1451,goat
1452,goat
1453,goat
1454,goat
1455,goat
1456,goat
1457,goat
1458,goat
1459,goat
1460,car
1461,goat
1462,goat
1463,car
1464,goat
1465,goat
1466,goat
1467,goat
1468,car
1469,goat
1470,goat
1471,goat
1472,goat
1473,goat
1474,goat
1475,goat
1476,goat
1477,goat
1478,goat
1479,goat
1480,goat
1481,goat
1482,goat
1483,goat
1484,goat
1485,goat
1486,goat
1487,goat
1488,goat
1489,goat
1490,goat
1491,goat
1492,goat
1493,goat
1494,goat
1495,goat
1496,goat
1497,goat
1498,goat
1499,goat
1500,goat
1501,goat
1502,goat
1503,car
1504,goat
1505,car
1506,goat
1507,goat
1508,goat
1509,goat
1510,goat
1511,goat
1512,goat
1513,goat
1514,goat
1515,goat
1516,goat
1517,goat
1518,goat
1519,goat
1520,goat
1521,goat
1522,goat
1523,goat
1524,goat
1525,car
1526,goat
1527,goat
1528,goat
1529,car
1530,goat
1531,car
1532,goat
1533,goat
1534,goat
1535,goat
1536,goat
1537,goat
1538,goat
1539,goat
1540,goat
1541,goat
1542,goat
1543,goat
1544,goat
1545,goat
1546,goat
1547,goat
1548,goat
1549,goat
1550,goat
1551,goat
1552,goat
1553,car
1554,goat
1555,goat
1556,goat
1557,goat
1558,goat
1559,goat
1560,goat
1561,goat
1562,goat
1563,goat
1564,goat
1565,car
1566,car
1567,goat
1568,goat
1569,car
1570,goat
1571,goat
1572,goat
1573,goat
1574,car
1575,goat
1576,goat
1577,goat
1578,goat
1579,goat
1580,goat
1581,goat
1582,goat
1583,goat
1584,goat
1585,goat
1586,goat
1587,goat
1588,goat
1589,goat
1590,goat
1591,goat
1592,goat
1593,goat
1594,goat
1595,goat
1596,goat
1597,goat
1598,goat
1599,car
1600,goat
1601,goat
1602,goat
1603,goat
1604,goat
1605,goat
1606,goat
1607,goat
1608,goat
1609,goat
1610,goat
1611,goat
1612,car
1613,car
1614,car
1615,goat
1616,goat
1617,goat
1618,car
1619,goat
1620,goat
1621,goat
1622,car
1623,goat
1624,goat
1625,goat
1626,goat
1627,goat
1628,goat
1629,car
1630,goat
1631,goat
1632,goat
1633,goat
1634,goat
1635,goat
1636,goat
1637,goat
1638,goat
1639,goat
1640,goat
1641,car
1642,goat
1643,goat
1644,goat
1645,goat
1646,goat
1647,goat
1648,goat
1649,goat
1650,goat
1651,goat
1652,goat
1653,goat
1654,goat
1655,goat
1656,goat
1657,goat
1658,goat
1659,goat
1660,goat
1661,goat
1662,goat
1663,car
1664,goat
1665,goat
1666,car
1667,goat
1668,goat
1669,goat
1670,car
1671,goat
1672,goat
1673,goat
1674,goat
1675,car
1676,goat
1677,goat
1678,goat
1679,goat
1680,goat
1681,goat
1682,car
1683,goat
1684,goat
1685,goat
1686,goat
1687,goat
1688,goat
1689,goat
1690,goat
1691,goat
1692,car
1693,goat
1694,goat
1695,goat
1696,goat
1697,goat
1698,goat
1699,goat
1700,goat
1701,car
1702,goat
1703,goat
1704,goat
1705,goat
1706,goat
1707,goat
1708,goat
1709,goat
1710,goat
1711,goat
1712,goat
1713,goat
1714,goat
1715,car
1716,goat
1717,goat
1718,goat
1719,goat
1720,car
1721,goat
1722,goat
1723,goat
1724,goat
1725,goat
1726,goat
1727,goat
1728,goat
1729,goat
1730,goat
1731,goat
1732,goat
1733,goat
1734,goat
1735,goat
1736,car
1737,goat
1738,goat
1739,goat
1740,goat
1741,goat
1742,goat
1743,goat
1744,goat
1745,goat
1746,goat
1747,goat
1748,goat
1749,goat
1750,car
1751,goat
1752,goat
1753,car
1754,goat
1755,goat
1756,goat
1757,goat
1758,goat
1759,goat
1760,goat
1761,car
1762,goat
1763,goat
1764,goat
1765,goat
1766,car
1767,goat
1768,goat
1769,goat
1770,goat
1771,goat
1772,goat
1773,goat
1774,goat
1775,goat
1776,goat
1777,goat
1778,goat
1779,goat
1780,goat
1781,goat
1782,goat
1783,goat
1784,car
1785,goat
1786,goat
1787,goat
1788,goat
1789,goat
1790,goat
1791,goat
1792,goat
1793,goat
1794,goat
1795,goat
1796,goat
1797,goat
1798,goat
1799,goat
1800,goat
1801,goat
1802,goat
1803,goat
1804,goat
1805,goat
1806,car
1807,goat
1808,goat
1809,goat
1810,goat
1811,goat
1812,goat
1813,goat
1814,goat
1815,goat
1816,goat
1817,goat
1818,goat
1819,goat
1820,goat
1821,goat
1822,goat
1823,goat
1824,goat
1825,goat
1826,goat
1827,goat
1828,goat
1829,car
1830,goat
1831,goat
1832,goat
1833,goat
1834,goat
1835,goat
1836,goat
1837,goat
1838,goat
1839,goat
1840,goat
1841,goat
1842,goat
1843,goat
1844,goat
1845,goat
1846,goat
1847,goat
1848,goat
1849,goat
1850,car
1851,goat
1852,goat
1853,goat
1854,goat
1855,goat
1856,goat
1857,goat
1858,goat
1859,goat
1860,goat
1861,goat
1862,goat
1863,goat
1864,goat
1865,car
1866,goat
1867,goat
1868,goat
1869,goat
1870,goat
1871,goat
1872,goat
1873,goat
1874,goat
1875,goat
1876,goat
1877,goat
1878,goat
1879,goat
1880,goat
1881,goat
1882,goat
1883,goat
1884,car
1885,goat
1886,goat
1887,goat
1888,goat
1889,car
1890,goat
1891,goat
1892,goat
1893,goat
1894,goat
1895,goat
1896,car
1897,goat
1898,goat
1899,goat
1900,goat
1901,goat
1902,goat
1903,goat
1904,goat
1905,car
1906,goat
1907,goat
1908,goat
1909,car
1910,goat
1911,goat
1912,goat
1913,goat
1914,goat
1915,car
1916,goat
1917,goat
1918,car
1919,goat
1920,goat
1921,goat
1922,goat
1923,goat
1924,goat
1925,goat
1926,goat
1927,goat
1928,goat
1929,goat
1930,goat
1931,goat
1932,goat
1933,goat
1934,goat
1935,goat
1936,goat
1937,goat
1938,goat
1939,goat
1940,goat
1941,goat
1942,goat
1943,goat
1944,goat
1945,goat
1946,goat
1947,goat
1948,goat
1949,goat
1950,goat
1951,goat
1952,goat
1953,goat
1954,goat
1955,goat
1956,goat
1957,goat
1958,goat
1959,goat
1960,goat
1961,goat
1962,goat
1963,goat
1964,goat
1965,car
1966,car
1967,goat
1968,goat
1969,goat
1970,goat
1971,goat
1972,goat
1973,goat
1974,goat
1975,goat
1976,goat
1977,goat
1978,goat
1979,goat
1980,goat
1981,goat
1982,goat
1983,goat
1984,goat
1985,goat
1986,goat
1987,goat
1988,goat
1989,car
1990,goat
1991,goat
1992,goat
1993,goat
1994,goat
1995,goat
1996,goat
1997,goat
1998,goat
1999,goat
2000,goat
2001,car
2002,goat
2003,goat
2004,goat
2005,goat
2006,car
2007,goat
2008,goat
2009,goat
2010,goat
2011,car
2012,goat
2013,goat
2014,goat
2015,goat
2016,goat
2017,goat
2018,goat
2019,goat
2020,car
2021,goat
2022,goat
2023,car
2024,car
2025,goat
2026,goat
2027,goat
2028,goat
2029,car
2030,goat
2031,goat
2032,goat
2033,goat
2034,goat
2035,goat
2036,goat
2037,goat
2038,goat
2039,goat
2040,goat
2041,goat
2042,goat
2043,goat
2044,car
2045,goat
2046,goat
2047,goat
2048,goat
2049,goat
2050,goat
2051,goat
2052,goat
2053,goat
2054,goat
2055,goat
2056,goat
2057,goat
2058,goat
2059,goat
2060,goat
2061,goat
2062,goat
2063,car
2064,car
2065,goat
2066,goat
2067,goat
2068,car
2069,goat
2070,goat
2071,goat
2072,goat
2073,goat
2074,goat
2075,goat
2076,goat
2077,goat
2078,goat
2079,goat
2080,goat
2081,goat
2082,goat
2083,goat
2084,car
2085,goat
2086,car
2087,goat
2088,goat
2089,goat
2090,goat
2091,goat
2092,goat
2093,goat
2094,goat
2095,goat
2096,goat
2097,goat
2098,goat
2099,goat
2100,goat
2101,goat
2102,goat
2103,goat
2104,car
2105,goat
2106,goat
2107,goat
2108,goat
2109,goat
2110,goat
2111,goat
2112,goat
2113,goat
2114,goat
2115,goat
2116,goat
2117,goat
2118,goat
2119,goat
2120,car
2121,goat
2122,goat
2123,goat
2124,goat
2125,car
2126,goat
2127,goat
2128,goat
2129,goat
2130,goat
2131,goat
2132,goat
2133,car
2134,goat
2135,goat
2136,goat
2137,car
2138,goat
2139,goat
2140,goat
2141,car
2142,goat
2143,goat
2144,goat
2145,goat
2146,goat
2147,goat
2148,goat
2149,goat
2150,goat
2151,goat
2152,goat
2153,goat
2154,car
2155,goat
2156,goat
2157,car
2158,goat
2159,goat
2160,goat
2161,goat
2162,goat
2163,goat
2164,goat
2165,goat
2166,goat
2167,car
2168,goat
2169,car
2170,goat
2171,goat
2172,car
2173,car
2174,goat
2175,goat
2176,goat
2177,goat
2178,goat
2179,goat
2180,goat
2181,goat
2182,goat
2183,goat
2184,goat
2185,goat
2186,car
2187,car
2188,goat
2189,goat
2190,goat
2191,goat
2192,goat
2193,goat
2194,car
2195,goat
2196,goat
2197,goat
2198,goat
2199,goat
2200,goat
2201,goat
2202,car
2203,car
2204,goat
2205,goat
2206,goat
2207,goat
2208,goat
2209,goat
2210,goat
2211,goat
2212,goat
2213,goat
2214,car
2215,goat
2216,goat
2217,goat
2218,goat
2219,goat
2220,car
2221,goat
2222,goat
2223,goat
2224,goat
2225,goat
2226,goat
2227,goat
2228,goat
2229,car
2230,goat
2231,car
2232,goat
2233,goat
2234,goat
2235,goat
2236,goat
2237,goat
2238,goat
2239,goat
2240,goat
2241,goat
2242,goat
2243,goat
2244,goat
2245,goat
2246,goat
2247,goat
2248,goat
2249,goat
2250,goat
2251,goat
2252,goat
2253,goat
2254,goat
2255,goat
2256,goat
2257,goat
2258,goat
2259,goat
2260,goat
2261,goat
2262,goat
2263,goat
2264,goat
2265,car
2266,goat
2267,goat
2268,goat
2269,goat
2270,goat
2271,goat
2272,car
2273,goat
2274,goat
2275,goat
2276,goat
2277,goat
2278,goat
2279,car
2280,goat
2281,goat
2282,goat
2283,goat
2284,goat
2285,goat
2286,goat
2287,goat
2288,goat
2289,goat
2290,goat
2291,goat
2292,goat
2293,goat
2294,goat
2295,goat
2296,goat
2297,goat
2298,goat
2299,goat
2300,goat
2301,goat
2302,car
2303,goat
2304,goat
2305,goat
2306,goat
2307,goat
2308,goat
2309,goat
2310,goat
2311,goat
2312,goat
2313,goat
2314,goat
2315,goat
2316,goat
2317,goat
2318,goat
2319,goat
2320,goat
2321,goat
2322,car
2323,goat
2324,goat
2325,goat
2326,goat
2327,goat
2328,goat
2329,goat
2330,goat
2331,goat
2332,goat
2333,goat
2334,goat
2335,goat
2336,goat
2337,car
2338,goat
2339,goat
2340,goat
2341,goat
2342,car
2343,goat
2344,goat
2345,goat
2346,goat
2347,goat
2348,goat
2349,goat
2350,goat
2351,goat
2352,car
2353,goat
2354,goat
2355,goat
2356,goat
2357,goat
2358,goat
2359,goat
2360,goat
2361,goat
2362,goat
2363,goat
2364,goat
2365,car
2366,goat
2367,car
2368,goat
2369,car
2370,goat
2371,goat
2372,goat
2373,car
2374,goat
2375,goat
2376,goat
2377,goat
2378,car
2379,goat
2380,goat
2381,goat
2382,goat
2383,goat
2384,goat
2385,goat
2386,goat
2387,goat
2388,goat
2389,goat
2390,goat
2391,goat
2392,goat
2393,goat
2394,goat
2395,goat
2396,goat
2397,goat
2398,goat
2399,goat
2400,goat
2401,goat
2402,goat
2403,goat
2404,car
2405,goat
2406,goat
2407,car
2408,goat
2409,goat
2410,goat
2411,goat
2412,goat
2413,goat
2414,car
2415,goat
2416,goat
2417,goat
2418,goat
2419,goat
2420,goat
2421,goat
2422,goat
2423,car
2424,goat
2425,car
2426,car
2427,car
2428,goat
2429,goat
2430,goat
2431,goat
2432,goat
2433,goat
2434,goat
2435,goat
2436,goat
2437,goat
2438,goat
2439,goat
2440,goat
2441,goat
2442,goat
2443,goat
2444,car
2445,goat
2446,goat
2447,goat
2448,car
2449,goat
2450,goat
2451,goat
2452,goat
2453,goat
2454,goat
2455,goat
2456,goat
2457,goat
2458,car
2459,car
2460,goat
2461,goat
2462,goat
2463,goat
2464,goat
2465,goat
2466,goat
2467,goat
2468,goat
2469,goat
2470,car
2471,goat
2472,goat
2473,goat
2474,goat
2475,car
2476,goat
2477,goat
2478,goat
2479,goat
2480,goat
2481,goat
2482,goat
2483,goat
2484,goat
2485,goat
2486,goat
2487,goat
2488,goat
2489,goat
2490,goat
2491,goat
2492,goat
2493,goat
2494,goat
2495,goat
2496,goat
2497,goat
2498,goat
2499,car
2500,car
2501,goat
2502,goat
2503,goat
2504,goat
2505,goat
2506,goat
2507,goat
2508,goat
2509,goat
2510,goat
2511,goat
2512,goat
2513,goat
2514,goat
2515,goat
2516,goat
2517,goat
2518,goat
2519,goat
2520,goat
2521,goat
2522,goat
2523,goat
2524,car
2525,goat
2526,goat
2527,goat
2528,goat
2529,goat
2530,car
2531,goat
2532,goat
2533,goat
2534,goat
2535,goat
2536,goat
2537,goat
2538,goat
2539,goat
2540,goat
2541,goat
2542,goat
2543,goat
2544,goat
2545,goat
